index,identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
42543,-8710973934786706227,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,608,3197,106.57,8.88,fr
42544,-8211846139676230264,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42545,-7432443564225450059,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42546,1676300355680354614,user,Suisse,fr,3,8,5,0,0,0.0,0,0,F,2,mrs,False,False,False,True,170,3197,106.57,8.88,ch
42547,-1399355474249728812,user,Tunisie,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,tn
42548,1096391007742925129,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,it
42549,5559679168618584851,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,695,3197,106.57,8.88,gb
42550,-2490817770074446819,user,Suède,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,se
42551,-4740245449646669330,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,es
42552,-3804395266554804202,user,Royaume-Uni,fr,3,8,1,0,1,0.0,1,0,F,3,miss,False,False,False,True,293,3197,106.57,8.88,gb
42553,-7894368198494661051,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,611,3197,106.57,8.88,es
42554,-1249214253508042377,user,France,fr,4,9,16,0,1,0.0,15,1,F,2,mrs,True,False,True,True,37,3197,106.57,8.88,fr
42555,-130748684537638363,user,Canada,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,ca
42556,620238557606078188,user,France,fr,5,8,1,3,0,0.0,0,0,F,2,mrs,True,False,True,False,570,3197,106.57,8.88,fr
42557,-6590160085282394623,user,Belgique,en,3,8,4,0,0,0.0,1,1,F,2,mrs,True,True,False,True,18,3197,106.57,8.88,be
42558,666405381520789499,user,Algérie,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,658,3197,106.57,8.88,dz
42559,-43938148983617378,user,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,698,3197,106.57,8.88,de
42560,4486098961402395160,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,680,3197,106.57,8.88,fr
42561,-1518104250694522957,user,France,en,3,8,1,0,0,0.0,2,0,F,2,mrs,True,False,True,True,144,3197,106.57,8.88,fr
42562,5616294024519204574,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42563,-2943309769145257250,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,357,3197,106.57,8.88,fr
42564,-3637462554659887902,user,Finlande,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,666,3197,106.57,8.88,fi
42565,9060051989086308855,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,701,3197,106.57,8.88,es
42566,-2158241905073663281,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42567,-2103805802911050977,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42568,6841066111323995319,user,Belgique,fr,3,8,58,0,0,0.0,31,3,F,2,mrs,False,False,False,True,144,3197,106.57,8.88,be
42569,-1678794224606982707,user,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,597,3197,106.57,8.88,it
42570,4930563410135932511,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,fr
42571,253985565874062019,user,Belgique,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,be
42572,-1483018096508140113,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,701,3197,106.57,8.88,es
42573,-4097171378935536798,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,it
42574,5332223698634318442,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42575,7874339757346711573,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,388,3197,106.57,8.88,gb
42576,-7459212058776100589,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,700,3197,106.57,8.88,es
42577,-8907035216668803424,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,651,3197,106.57,8.88,fr
42578,2988636755753855110,user,Danemark,en,4,8,7,0,0,0.0,1,1,F,2,mrs,True,False,True,True,669,3197,106.57,8.88,dk
42579,-6373359824663405321,user,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3197,106.57,8.88,de
42580,6548545382480009875,user,France,fr,3,0,0,0,1,0.0,0,0,F,3,miss,False,False,False,True,44,3197,106.57,8.88,fr
42581,7525211909451307368,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
42582,7167489626041600541,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,460,3197,106.57,8.88,gb
42583,-7309693891891973505,user,France,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
